Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Media
11622514395,"May 13, 2024, 2:18:43 PM",Morning Row,Rowing,,6689,0,183.0,111,false,,,activities/12403060619.fit.gz,,,6689.0,6689.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,183.0,139.7833709716797,,,579.0,,,111.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,""
11623158811,"Jun 10, 2024, 10:42:00 PM",Afternoon Ride,Ride,,6042,27.32,165.0,47,false,,,activities/12403718067.fit.gz,,,6042.0,5426.0,27327.541015625,9.880078315734863,5.036406517028809,126.2001953125,124.80000305175781,1797.199951171875,1866.0,41.36190414428711,0.002927628345787525,,,,,165.0,132.49362182617188,,,604.0,,,47.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.522929668426514,2295.0,,,,,,,,,,,,""
11626676905,"Jun 11, 2024, 12:07:36 PM",Morning Row,Rowing,,2250,0,181.0,18,false,,,activities/12407346434.fit.gz,,,2250.0,2250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,181.0,126.61377716064453,,,118.0,,,18.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,""
11630662333,"Jun 11, 2024, 9:01:08 PM",Afternoon Row,Rowing,,4568,0,181.0,129,false,,,activities/12411428871.fit.gz,,,4568.0,4568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,181.0,152.69046020507812,,,296.0,,,129.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,""
11634907537,"Jun 12, 2024, 11:54:46 AM",Morning Row,Rowing,,3713,"5,590",138.0,12,false,,,activities/11634907537.gpx,,,3713.0,3682.0,5589.8095703125,3.5179686546325684,1.518144965171814,0.0,0.0,1692.699951171875,1692.9000244140625,1.1377146244049072,0.0,,,,,138.0,112.80552673339844,,,,,,12.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.5054699182510376,0.0,,,,,,,,,,,,""
11642920083,"Jun 13, 2024, 12:04:27 AM",Evening Workout,Workout,,1647,0,162.0,11,false,,,activities/12424020766.fit.gz,,,1647.0,1647.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,162.0,131.6982421875,,,189.0,,,11.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,""
11642920106,"Jun 12, 2024, 11:49:01 PM",Afternoon Row,Rowing,,872,0,160.0,16,false,,,activities/12424020798.fit.gz,,,872.0,872.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,160.0,145.55963134765625,,,77.0,,,16.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,""
11642933487,"Jun 13, 2024, 12:15:01 PM",Morning Row,Rowing,,2553,"4,016",167.0,24,false,,,activities/11642933487.gpx,,,2553.0,2537.0,4016.06005859375,4.316015720367432,1.5829956531524658,0.0,0.0,1692.0,1692.199951171875,1.2853422164916992,-0.0024900026619434357,,,,,167.0,135.19912719726562,,,,,,24.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.5730748176574707,0.0,,,,,,,,,,,,""
11825074114,"Jul 6, 2024, 6:00:00 PM",Afternoon Weights,Workout,"trying to be back on my strava grind 😏 tried a 40’ TRX class that kicked my ass, then of course finished with izzy’s ab video — painful!",3600,0,,,false,,,,,,3600.0,3600.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,""
11825468511,"Jul 6, 2024, 9:52:11 PM",Afternoon Hike,Hike,,4981,4.19,145.0,12,false,,,activities/12612138343.fit.gz,,,4981.0,3713.0,4191.31005859375,1.8197482824325562,1.1288204193115234,183.2001953125,197.8000030517578,2170.800048828125,2289.39990234375,49.990962982177734,-0.34428006410598755,,,,,145.0,114.1265640258789,,,298.0,,,12.0,,,,,,,,,,,,,0.0,,1.0,,1720299648.0,3.0,26.729999542236328,24.68000030517578,-0.8500000238418579,0.1599999964237213,1006.3499755859375,3.140000104904175,8.479999542236328,353.0,0.0,1720265984.0,1720319360.0,0.125,,,0.0,1.0,1.0,49007.0,5.0,,,,,0.0,0.8414595723152161,4182.60009765625,,,,4868.0,,,,,,,,""
